Date,Open,High,Low,Close,Adj Close,Volume
26-10-2015,2530,2581.899902,2530,2575.600098,2414.80249,521901
27-10-2015,2566.050049,2595,2555.050049,2582.149902,2420.943115,380147
28-10-2015,2580.100098,2585,2558.300049,2570.399902,2409.926758,317563
29-10-2015,2572,2600,2562.649902,2577.300049,2416.395996,395616
30-10-2015,2575.100098,2583,2539.949951,2550.449951,2391.222412,167715
02-11-2015,2542,2575,2392,2432.649902,2280.776611,535525
03-11-2015,2444.949951,2450.149902,2411.100098,2424.550049,2273.182617,192324
04-11-2015,2435,2474,2435,2449.050049,2296.152832,261171
05-11-2015,2449.949951,2468.25,2405.300049,2414.300049,2263.57251,201885
06-11-2015,2411.100098,2448.850098,2411.100098,2429.449951,2277.776611,178321
09-11-2015,2394.800049,2430,2382.550049,2409.100098,2258.697266,157878
10-11-2015,2401,2475,2381.649902,2457.449951,2304.02832,273391
13-11-2015,2440,2470,2367.050049,2380.449951,2231.835693,255389
16-11-2015,2374,2408.850098,2344.149902,2372.600098,2224.476074,285955
17-11-2015,2384,2417.800049,2355,2365.300049,2217.631592,254396
18-11-2015,2369,2384.25,2336.5,2342.899902,2196.629639,245945
19-11-2015,2361,2442.100098,2361,2428.25,2276.651611,289124
20-11-2015,2427.949951,2510,2425.25,2476.649902,2322.029785,378408
23-11-2015,2481,2529,2481,2522.75,2365.251709,545369
24-11-2015,2515,2544.899902,2471,2476.800049,2322.17041,325768
26-11-2015,2494.800049,2522.800049,2405,2448.149902,2295.308838,393155
27-11-2015,2433.050049,2462.800049,2425.100098,2447.850098,2295.027832,170413
30-11-2015,2458,2515,2452,2479.25,2324.467529,565457
01-12-2015,2490,2500,2460,2464.649902,2310.778809,153290
02-12-2015,2470,2515,2426.350098,2500.600098,2344.484619,401153
03-12-2015,2499,2506.949951,2473.75,2480.199951,2325.358154,246228
04-12-2015,2455.199951,2489.449951,2455.199951,2472.550049,2318.185791,187184
07-12-2015,2471.050049,2485,2442.100098,2449.75,2296.809082,187375
08-12-2015,2440.5,2484,2430,2462.649902,2308.903809,186909
09-12-2015,2463,2471.600098,2383.25,2389.300049,2240.133057,206433
10-12-2015,2391.600098,2451.949951,2391.600098,2443.25,2290.714844,194126
11-12-2015,2454.699951,2454.699951,2404.949951,2416.25,2265.400635,189746
14-12-2015,2412,2428,2375.100098,2409.199951,2258.790527,184395
15-12-2015,2409.100098,2445.050049,2391,2437.300049,2285.136475,166399
16-12-2015,2462,2464,2430,2452.699951,2299.574951,153649
17-12-2015,2460,2541.699951,2455.600098,2531.100098,2373.080566,275504
18-12-2015,2490.25,2503,2460,2469.550049,2315.373291,452519
21-12-2015,2489,2507,2472.850098,2489.5,2334.077637,176689
22-12-2015,2489.949951,2499.5,2470,2476.25,2321.654785,167772
23-12-2015,2494.899902,2502.949951,2468.199951,2473.399902,2318.982666,252059
24-12-2015,2496.899902,2496.899902,2467.649902,2482.899902,2327.889404,100232
28-12-2015,2483,2499,2483,2492.550049,2336.937256,151653
29-12-2015,2496,2535.949951,2496,2530.449951,2372.471191,215967
30-12-2015,2540,2545,2510,2514.050049,2357.095215,207046
31-12-2015,2515,2546.100098,2504,2532,2373.924316,243382
01-01-2016,2530.100098,2530.100098,2511,2518,2360.798584,70853
04-01-2016,2490,2547.600098,2475.449951,2483.350098,2328.311523,190056
05-01-2016,2500,2523.350098,2491.449951,2502.350098,2346.125488,192154
06-01-2016,2492.199951,2514.149902,2473.5,2485.5,2330.327393,222912
07-01-2016,2475,2485,2406.850098,2419.25,2268.213379,221180
08-01-2016,2432.5,2443.899902,2360,2375.850098,2227.522949,206203
11-01-2016,2359.899902,2372.75,2329.899902,2360.5,2213.131104,159001
12-01-2016,2361.5,2377.449951,2337.149902,2344.350098,2197.989502,199864
13-01-2016,2355,2387.899902,2332.199951,2369.699951,2221.756836,246183
14-01-2016,2349,2374.649902,2323.100098,2362.449951,2214.959473,205015
15-01-2016,2369.949951,2369.949951,2313,2322.149902,2177.175537,334940
18-01-2016,2310,2335.100098,2236.800049,2249.899902,2109.436035,329495
19-01-2016,2259.949951,2291,2234.399902,2266.300049,2124.812256,153092
20-01-2016,2240.5,2284.899902,2230,2278.350098,2136.110107,176561
21-01-2016,2280.050049,2299.899902,2256.050049,2272.949951,2131.047119,190801
22-01-2016,2279,2329.300049,2274.149902,2318.850098,2174.081543,161259
25-01-2016,2323.300049,2348,2315,2327.300049,2182.003906,214198
27-01-2016,2333,2333,2285.050049,2302.850098,2159.080566,256991
28-01-2016,2301,2310.600098,2255.699951,2263.399902,2122.093018,172772
29-01-2016,2270,2359.899902,2263.550049,2341.949951,2195.739014,234367
01-02-2016,2360,2361.949951,2310.100098,2327.899902,2182.566162,155264
02-02-2016,2310,2384.399902,2300,2364.100098,2216.506592,281676
03-02-2016,2345,2395,2335,2347.649902,2201.083252,179941
04-02-2016,2370,2389.850098,2295,2310.649902,2166.393311,1147152
05-02-2016,2318.399902,2378.949951,2303.149902,2366.350098,2218.615967,261889
08-02-2016,2366.300049,2388.800049,2348,2355.050049,2208.021484,80466
09-02-2016,2344,2390,2337.899902,2376.600098,2228.226318,166296
10-02-2016,2363.949951,2387.899902,2342,2368.149902,2220.303467,194080
